Id,Story,Labels,Iteration,Iteration Start,Iteration End,Story Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Owned By,Description,URL,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
53046531,[4.2] ,"",4,"Oct 21, 2013","Nov 17, 2013",release,,unstarted,"Jan 15, 2013",,,Carlos,,,http://www.pivotaltracker.com/story/show/53046531
56926472,Marketing Plan 4,marketing,,,,feature,3,unscheduled,"Sep 12, 2013",,,Carlos,,"Get help from General Motors to advertise my project. I could sell it to them and they might get a good amount of people to use it. I'm not 100% sure how to accomplish this or if there is a better way to do it, but the idea is to contact a big company that could spread the word easily about my project.",http://www.pivotaltracker.com/story/show/56926472
55272022,Marketing Plan 2,marketing,,,,feature,3,unscheduled,"Aug 15, 2013",,,Carlos,,"My second marketing plan is to have advertisements in car meets and auto parts stores. Hand in some flyers, let people know the website exist. Maybe have flyers on the windshield of the cars. Car tuners are the primary target to have good content for other users to see and enjoy. ",http://www.pivotaltracker.com/story/show/55272022
55272014,Marketing Plan 1,marketing,,,,feature,3,unscheduled,"Aug 15, 2013",,,Carlos,,"My first marketing plan is to have a presentation on the showcase auditorium. Spread the word and ask people to try it out and talk about it with their friends. Show them how everything works, encourage them to use it and find cars they like.",http://www.pivotaltracker.com/story/show/55272014
53046533,Forgotten Pwd Featuer,user system,,,,feature,3,unscheduled,"Feb 7, 2013",,,Carlos,,,http://www.pivotaltracker.com/story/show/53046533
53046535,milestone,"",,,,release,,unscheduled,"Jan 22, 2013",,,Carlos,,,http://www.pivotaltracker.com/story/show/53046535
53046537,Users can create and curate lists of content created by other users.,bonus points,,,,feature,3,unscheduled,"Jan 15, 2013",,,Carlos,,"This allows users to essentially create groups or playlists of content.

Example: See Dribble Buckets - http://dribbble.com/_chapman/buckets",http://www.pivotaltracker.com/story/show/53046537
53046539,User should be able to easily filter content based on meta tags,bonus points,,,,feature,2,unscheduled,"Jan 15, 2013",,,Carlos,,,http://www.pivotaltracker.com/story/show/53046539
53046541,Content is required to be tagged with meta information upon submission.,bonus points,,,,feature,1,unscheduled,"Jan 15, 2013",,,Carlos,,Comments are an essential part of any content sharing service.,http://www.pivotaltracker.com/story/show/53046541
53046543,Users can share content to other social networks,bonus points,,,,feature,2,unscheduled,"Jan 22, 2013",,,Carlos,,"Facebook has created some really easy to use tools to help you out. Here is a direct link to them. Enjoy! 

https://developers.facebook.com/docs/plugins/",http://www.pivotaltracker.com/story/show/53046543
53046545,Advertisers should be able to show their products or services to make money.,bonus points,,,,feature,3,unscheduled,"Jan 15, 2013",,,Carlos,,Google Ad words and other services offer viable revenue streams.,http://www.pivotaltracker.com/story/show/53046545
53046547,Email Blast to newsletter subscribers.,bonus points,,,,feature,3,unscheduled,"Jan 22, 2013",,,Carlos,,"The ability to reach out to your audience is key. 

Create the ability for an admin user to send a templated email out to your subscribed users.",http://www.pivotaltracker.com/story/show/53046547
53046549,Users should be able to see related content to what they are currently viewing.,bonus points,,,,feature,3,unscheduled,"Jan 15, 2013",,,Carlos,,This further promotes content discovery.,http://www.pivotaltracker.com/story/show/53046549
53046551,Users should be able to access recent activity in a data format such as JSON or RSS.,bonus points,,,,feature,2,unscheduled,"Jan 15, 2013",,,Carlos,,,http://www.pivotaltracker.com/story/show/53046551
